feature,verdict,detected_type,route,c2st_auc,c2st_auc_ci_low,c2st_auc_ci_high,c2st_auc_ci_width,c2st_null_pooled,c2st_calibrated_pooled,c2st_null_benign,c2st_calibrated_benign,c2st_null_attack,c2st_calibrated_attack,c2st_shifted,e1_agreement_rate,wasserstein_qn_null,wasserstein_qn_calibrated,jensen_shannon_null,jensen_shannon_calibrated,mmd_null,mmd_calibrated,energy_distance_null,energy_distance_calibrated,ks_statistic_null,ks_statistic_calibrated,anderson_darling_null,anderson_darling_calibrated,marginal_shift_magnitude,separation_stability,sep_2017,sep_2018,dir_2017,dir_2018,wasserstein_qn,mmd,energy_distance,anderson_darling,ks_statistic,n_modes_2017,n_modes_2018,modality_mismatch,recommended_scale,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,cardinality,variance_2017,variance_2018,flip_detected,collapse_detected
Protocol,shifted,nominal,nominal,0.543953125,0.5264621429575993,0.5614441070424008,0.034981964084801476,0.5120683976964642,0.06534671489406992,0.5184691676404133,0.1643266163702204,0.5008337542087542,-0.0016702936462231889,True,1.0,,,0.015095860959230798,2.956687118520495,,,,,,,,,0.05972959860036494,0.25680169798116653,0.8113611928055116,0.7061927625495504,-1.0,-1.0,,,,,,1,1,False,categorical,0.8297872340425528,1.0212765957446819,0.7191489361702127,shape_change,0.0,0.0,0.0,none,4,30.27214836918063,29.13809825418705,False,False
Dst Port,shifted,nominal,nominal,0.6985849999999999,0.6737545798170435,0.7234154201829563,0.049660840365912895,0.5117771665540694,0.3826282194288625,0.5214608943568131,0.3096972199252008,0.523520603148125,0.43748485921769553,True,1.0,,,0.04542249686479649,7.209976771023929,,,,,,,,,0.37291764414188644,0.6361175168606559,0.7835384844864723,0.5514320469912272,1.0,1.0,,,,,,1,1,False,categorical,0.14220477883375274,731.8585856540583,0.1691592236929309,shape_change,0.0,0.0,2.0,p75,1197,33877522.99608159,3768414.8067178456,False,False
Fwd Packet Length Max,flipped,continuous,structural_change,0.7242625,0.7032826578132212,0.7452423421867789,0.04195968437355768,0.5273109536123987,0.41666196391211197,0.5163008370045098,0.4254848441766046,0.5215565944073545,0.658959141054763,True,1.0,0.012958310076550381,7.8007614759392965,,,0.000730706790610269,10.0,0.0020093259814953856,10.0,0.017289999999999996,9.53788316946212,1.2348131767574753,10.0,0.08715829859149296,-0.6530790569653292,0.7723527247722713,0.558140424838125,-1.0,1.0,0.11404299611498059,0.026459734588889505,0.029012846891734445,569.384268238107,0.1822,4,2,True,symlog,0.8658706511444212,95.36943088682767,0.8393264895960743,shape_change,7.0,29.0,207.0,p75,2271,241851.25710911976,855868.5094250533,True,False
Total Length of Bwd Packet,restructured,continuous,structural_change,0.7772175000000001,0.7542843614541646,0.8001506385458357,0.045866277091671126,0.5158492417597079,0.5398489082001412,0.516911918363898,0.5201961944186408,0.5301619668393373,0.983611373587189,True,1.0,0.014085983134915676,3.6955666122027124,,,0.0011864514807819802,10.0,0.003005882270567628,3.270304932882657,0.016629999999999995,9.823812387251957,1.9513992225285466,10.0,0.08895392876964384,0.743617578770242,0.5161847096939537,0.5291424180134517,0.0,0.0,0.06614167210836054,0.019641392514330835,0.012836033887669462,321.2862631889942,0.18,3,4,True,symlog,0.3227533376695902,106.67223841157815,0.9672183538314038,shape_change,-21.0,12.0,-2309.0,p75,8464,6903299680238.96,79847640937.31003,False,False
Total Bwd packets,flipped,continuous,continuous_multimodal,0.7243418749999999,0.7074514021746419,0.741232347825358,0.0337809456507161,0.5218614979907298,0.4234764114548224,0.5173509215788477,0.47577854944286685,0.5335961444499908,0.8484990547158469,True,1.0,0.07802076936384683,0.19498341054334434,,,1.8425923939835377e-05,10.0,0.02917927131782945,0.025955038493714243,0.017129999999999996,7.820782253356686,2.608449453298205,10.0,0.47036821723216715,-0.16183401397358704,0.551933262536004,0.5886402767833454,-1.0,1.0,0.09323352506762536,0.014076847380478208,0.029936620428102245,172.3161703150191,0.1511,4,4,False,symlog,0.6865137568014832,1.6420324337855674,0.9457619055807802,shape_change,-1.0,2.0,1.0,p50,379,1340918.0318528705,39322.25179732757,True,False
Flow Duration,restructured,continuous,structural_change,0.82277375,0.8097064024894597,0.8358410975105403,0.026134695021080567,0.5151272160722683,0.6344891776264042,0.5324341276500406,0.6031842549425194,0.5133578074539306,0.8238824102949387,True,1.0,0.0017837849689248445,10.0,,,0.00036373911775375853,10.0,0.0009389517379344398,10.0,0.018414999999999997,10.0,2.1189336968362458,10.0,0.07160632103160515,0.32394307660418875,0.643111539964672,0.6075102544655098,-1.0,-1.0,0.07160632103160515,0.005531919488802828,0.015228510405051965,462.304364840843,0.2369,4,3,True,log,1.1090240377289062,4047725.009204365,0.865979475587269,shape_change,1089.0,75799.5,371579.25,p75,67068,962842506605927.4,1342697350592359.8,False,False
Total Fwd Packet,shifted,continuous,continuous_multimodal,0.705940625,0.695519847098838,0.716361402901162,0.020841555802324052,0.5139749973151307,0.39497068386281486,0.5280340821468319,0.4507693983940496,0.5232733052007948,0.953716929971179,True,0.8,0.07197075465377326,0.10661832023186328,,,0.0003015399565143183,10.0,0.023891468117029302,0.0,0.013964999999999998,8.49516648764769,4.868686928690747,10.0,0.49789214832746637,0.10986527004484054,0.5181595293205206,0.5791258960436211,0.0,1.0,0.07964415562077812,0.006508875870108399,0.021666309426547126,197.15773533832564,0.1326,4,4,False,symlog,0.6436131953639679,1.8321754150796394,0.90451640449178,shape_change,-1.0,3.0,1.0,p50,306,757522.9941984515,598269.6840980797,False,False
Total Length of Fwd Packet,shifted,continuous,continuous_multimodal,0.790595625,0.7770369584273713,0.8041542915726287,0.02711733314525744,0.5312614619172671,0.5532597429336185,0.5238314572421142,0.6326261411834874,0.5297160625922985,0.6636513339751379,True,1.0,0.010197640858204293,6.870766075435428,,,0.0008868594213279784,10.0,0.0014263155788947102,10.0,0.016214999999999997,9.107924761023744,0.8367801256740502,10.0,0.4953300687553805,0.5943966157238596,0.7739772399535059,0.5478213566036039,-1.0,0.0,0.08026324571622857,0.01648772768926987,0.01587006109030553,356.4466184567951,0.1639,4,4,False,symlog,0.7328781642589234,199.3078748906543,0.8574993298003705,shape_change,-7.0,17.0,674.0,p75,4328,109449273.92929378,2538194538.165795,False,False
Fwd Packet Length Mean,shifted,continuous,continuous_multimodal,0.694041875,0.6799981916803208,0.7080855583196792,0.028087366639358402,0.5237722112738173,0.3575382784394442,0.5089893430328964,0.34376551623076523,0.5217085680887232,0.9049559599712158,True,1.0,0.011870977104885527,8.373804927592895,,,0.0006391588903728928,10.0,0.0017766094523630647,10.0,0.017839999999999998,9.442825112107624,2.4592909249849977,10.0,0.4987413607210595,0.4674062410147833,0.8149667890232861,0.5435256654278353,-1.0,0.0,0.11127622368111839,0.028663993383792885,0.02893178626393128,483.13779043184394,0.1863,4,4,False,symlog,0.9795057271395421,18.161340456396477,0.8338192607340205,shape_change,6.0,4.333333333333343,33.94545454545455,p75,12057,8410.429869225361,30697.91979582356,False,False
Fwd Packet Length Min,restructured,continuous,structural_change,0.5688875,0.5485522141856444,0.5892227858143556,0.04067057162871124,0.5229544979076985,0.09628641689491094,0.5152898301322725,0.26323110757619494,0.5016816726690676,-0.0028730082570630764,True,0.8,0.16318877064885323,0.0018679154080399607,,,0.00034583681460864603,10.0,0.12090852198049512,0.0,0.019584999999999988,3.707684452387034,2.8944392857028896,10.0,0.08268807721798355,0.2594644181217405,0.8126653257551603,0.7074617784168047,-1.0,-1.0,0.16349359346796732,0.0064482674193888645,0.09682315011075043,243.9097705316983,0.0922,2,3,True,symlog,0.8436900745150405,-1.215961101313954,0.869854601538249,shape_change,0.0,0.0,-4.0,p75,132,1226.6129535872371,564.6713906931673,False,False
Fwd Packet Length Std,shifted,continuous,continuous_multimodal,0.6926737499999999,0.6670151228886765,0.7183323771113233,0.05131725422264677,0.5110031137922156,0.3715169591705515,0.518584839212348,0.31034577420288867,0.5229710607004714,0.8156872827692471,True,1.0,0.1440871937309686,0.6064973588886682,,,0.0005794073075130465,10.0,0.09899304406101528,0.5176431769588776,0.01592499999999999,10.0,2.128234956330507,10.0,0.45026815278379856,0.17771420217723038,0.5441151016589109,0.6231826272771575,0.0,1.0,0.2314756961784809,0.03094726747006904,0.15023611788558938,646.8465229110119,0.2021,3,3,False,symlog,0.8788011944203206,33.42469666886966,0.827125053763909,shape_change,0.0,23.11493023999856,73.05663054855036,p75,15039,24058.086029966897,70031.46194357984,False,False
Bwd Packet Length Max,restructured,continuous,structural_change,0.783151875,0.7586368726783088,0.8076668773216913,0.049030004643382474,0.524976225026066,0.5435004805561594,0.5258365833418649,0.47005216730760474,0.5209066859344755,0.9823038127414979,True,1.0,0.015057665393326966,4.642906501471671,,,0.0005977649541563542,10.0,0.0033874536634158764,4.478150370827523,0.02063499999999999,8.435425248364435,1.9015528109044397,10.0,0.06664964244821225,0.7165299477547088,0.504281153111921,0.5050823032772418,0.0,0.0,0.08496899794498973,0.025697445849089284,0.018556980542402735,474.3227192224267,0.1947,4,3,True,symlog,0.2126251493795042,285.7558060545379,0.6491493373561242,shape_change,11.0,27.0,-275.0,p75,2120,5062597.737624752,330912.3266045104,False,False
Bwd Packet Length Std,shifted,continuous,continuous_multimodal,0.730833125,0.7095538068876983,0.7521124431123016,0.04255863622460332,0.5220747054816803,0.43680136187124863,0.5155929076000525,0.2992954576318321,0.5258167522724686,0.9791931704730548,True,1.0,0.15433424271121354,0.4907175711765815,,,0.00022831964220479942,10.0,0.11732342315578888,0.3712628751476617,0.018609999999999998,9.569586243954866,1.4971161247540266,10.0,0.5000225968274055,0.25569819585255565,0.660580746758794,0.6027102372595186,1.0,1.0,0.23006876744383728,0.006796762144755775,0.1608812545587728,557.3868796360434,0.1967,4,4,False,symlog,0.20274069311375353,96.5959195918349,0.6519647419227292,shape_change,0.0,21.74396467988301,-148.62903703722964,p75,14389,931193.5049979236,51829.097043567424,False,False
Bwd Packet Length Min,shifted,continuous,continuous_multimodal,0.587334375,0.5754127956588404,0.5992559543411595,0.02384315868231912,0.5257778916851562,0.12980517406408096,0.5135113847283399,0.24095474506880765,0.5008401288768874,-0.0016830857716930497,True,0.8,0.16142641563207813,0.027407997040321,,,0.00035717772749395123,8.530041181084131,0.1215970055513878,0.0,0.017559999999999996,4.273348519362188,1.6205078473044958,10.0,0.2977769514898004,0.2623316257253617,0.8101078702414442,0.7114841728469478,-1.0,-1.0,0.16585079035395175,0.003403918451983401,0.09487329855399274,149.6931211532544,0.0926,3,3,False,symlog,0.836023456909625,-3.5783836575023242,0.9608721296646464,shape_change,0.0,0.0,-26.0,p75,344,5498.311121232858,3358.1643466960586,False,False
