feature,benign_shift,attack_shift,max_attack_shift,mean_attack_shift,shift_by_family,dominant_driver,benign_c2st,attack_c2st,pooled_c2st,benign_c2st_calibrated,attack_c2st_calibrated,pooled_c2st_calibrated,benign_c2st_null,attack_c2st_null,pooled_c2st_null
Protocol,0.1643266163702204,-0.0016702936462231889,0.004113392120902447,0.000667274574594774,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': -0.00010974467333380328, 'DoS': 0.0, 'Infiltration': 0.004113392120902447, 'WebAttack': 0.0}",benign,0.5975975,0.5,,0.1643266163702204,-0.0016702936462231889,,0.5184691676404133,0.5008337542087542,
Dst Port,0.3096972199252008,0.43748485921769553,0.5424199133063463,0.10188938589387846,"{'Botnet': 0.0, 'BruteForce': 0.5424199133063463, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': 0.06891640205692434, 'WebAttack': 0.0}",attack,0.669663125,0.731973125,,0.3096972199252008,0.43748485921769553,,0.5214608943568131,0.523520603148125,
Fwd Packet Length Max,0.4254848441766046,0.658959141054763,0.9994746159077675,0.5519991637787104,"{'Botnet': 0.9994746159077675, 'BruteForce': 0.5556522841100514, 'DDoS': 0.7750358360977665, 'DoS': -0.006186725816775039, 'Infiltration': 0.028029936789461782, 'WebAttack': 0.9599890355839903}",attack,0.7221075,0.8368312499999998,0.7242625,0.4254848441766046,0.658959141054763,0.41666196391211197,0.5163008370045098,0.5215565944073545,0.5273109536123987
Total Length of Bwd Packet,0.5201961944186408,0.983611373587189,1.0,0.8291232162487403,"{'Botnet': 0.9994714223995603, 'BruteForce': 0.9994782307374513, 'DDoS': 1.0, 'DoS': 0.9992768773360623, 'Infiltration': 0.03891938179797334, 'WebAttack': 0.9375933852213941}",attack,0.7682125,0.9923,0.7772175000000001,0.5201961944186408,0.983611373587189,0.5398489082001412,0.516911918363898,0.5301619668393373,0.5158492417597079
Total Bwd packets,0.47577854944286685,0.8484990547158469,1.0,0.673526442054889,"{'Botnet': 0.8876503093715865, 'BruteForce': 1.0, 'DDoS': 0.5563353903330981, 'DoS': 0.847174029778996, 'Infiltration': 0.7666945690038456, 'WebAttack': -0.01669564615819188}",attack,0.746985,0.929339375,0.7243418749999999,0.47577854944286685,0.8484990547158469,0.4234764114548224,0.5173509215788477,0.5335961444499908,0.5218614979907298
Flow Duration,0.6031842549425194,0.8238824102949387,1.0,0.8957567494388533,"{'Botnet': 0.9858981805856231, 'BruteForce': 1.0, 'DDoS': 0.8950482672634117, 'DoS': 0.6677824152053033, 'Infiltration': 0.9523433071478449, 'WebAttack': 0.8734683264309363}",attack,0.8144625,0.9142937499999999,0.82277375,0.6031842549425194,0.8238824102949387,0.6344891776264042,0.5324341276500406,0.5133578074539306,0.5151272160722683
Total Fwd Packet,0.4507693983940496,0.953716929971179,0.9989112568617158,0.7429316800643667,"{'Botnet': 0.13073910437243758, 'BruteForce': 0.8861718743117322, 'DDoS': 0.9989112568617158, 'DoS': 0.9364695382760784, 'Infiltration': 0.7466075853423743, 'WebAttack': 0.758690721221863}",attack,0.7407818749999999,0.977935625,0.705940625,0.4507693983940496,0.953716929971179,0.39497068386281486,0.5280340821468319,0.5232733052007948,0.5139749973151307
Total Length of Fwd Packet,0.6326261411834874,0.6636513339751379,0.9942056521111157,0.6276849242464727,"{'Botnet': 0.9942056521111157, 'BruteForce': 0.9884223995067084, 'DDoS': 0.7706014761618516, 'DoS': 0.025814420785898077, 'Infiltration': 0.051962665077476884, 'WebAttack': 0.9351029318357855}",attack,0.8250681249999999,0.8418206249999999,0.790595625,0.6326261411834874,0.6636513339751379,0.5532597429336185,0.5238314572421142,0.5297160625922985,0.5312614619172671
Fwd Packet Length Mean,0.34376551623076523,0.9049559599712158,0.9994820457804388,0.7997771139608488,"{'Botnet': 0.9994715472134944, 'BruteForce': 0.9873192722266133, 'DDoS': 0.9994820457804388, 'DoS': 0.829035468582192, 'Infiltration': 0.05248792080379699, 'WebAttack': 0.9308664291585572}",attack,0.677781875,0.9545412500000001,0.694041875,0.34376551623076523,0.9049559599712158,0.3575382784394442,0.5089893430328964,0.5217085680887232,0.5237722112738173
Fwd Packet Length Min,0.26323110757619494,-0.0028730082570630764,0.002037162530837739,0.0005231858683185015,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': -0.0007021648522788478, 'DoS': 0.0018041175313521177, 'Infiltration': 0.002037162530837739, 'WebAttack': 0.0}",benign,0.642880625,0.50025,0.5688875,0.26323110757619494,-0.0028730082570630764,0.09628641689491094,0.5152898301322725,0.5016816726690676,0.5229544979076985
Fwd Packet Length Std,0.31034577420288867,0.8156872827692471,1.0,0.7668091233370049,"{'Botnet': 1.0, 'BruteForce': 0.9921298828952341, 'DDoS': 0.9994579131211618, 'DoS': 0.6791621607077994, 'Infiltration': 0.04689207998954084, 'WebAttack': 0.8832127033082934}",attack,0.66799,0.9120775,0.6926737499999999,0.31034577420288867,0.8156872827692471,0.3715169591705515,0.518584839212348,0.5229710607004714,0.5110031137922156
Bwd Packet Length Max,0.47005216730760474,0.9823038127414979,1.0,0.6929121046990908,"{'Botnet': 1.0, 'BruteForce': 0.5519347516497154, 'DDoS': 1.0, 'DoS': 0.9988159682098422, 'Infiltration': 0.03657190770596856, 'WebAttack': 0.5701500006290185}",attack,0.7487181250000001,0.9915218750000001,0.783151875,0.47005216730760474,0.9823038127414979,0.5435004805561594,0.5258365833418649,0.5209066859344755,0.524976225026066
Bwd Packet Length Std,0.2992954576318321,0.9791931704730548,1.0,0.8184269257414282,"{'Botnet': 0.9902809769071929, 'BruteForce': 0.9989712668036272, 'DDoS': 1.0, 'DoS': 0.9987989401049618, 'Infiltration': 0.03470537110052603, 'WebAttack': 0.8878049995322618}",attack,0.66057375,0.99013375,0.730833125,0.2992954576318321,0.9791931704730548,0.43680136187124863,0.5155929076000525,0.5258167522724686,0.5220747054816803
