feature,imp_2017_bin,imp_2018_bin,imp_2017_multi,imp_2018_multi,imp_rank_2017,imp_rank_2018,imp_mean,imp_rank_mean,imp_perm_2017_bin,imp_perm_2018_bin,imp_perm_rank_2017,imp_perm_rank_2018,imp_perm_mean,imp_perm_rank_mean,imp_perm_std_2017_bin,imp_perm_std_2018_bin,c2st_auc,c2st_auc_calibrated,c2st_auc_null,marginal_shift,separation_stability,instability,verdict,flip_corroborated,n_family_flips,cardinality,variance_2017,variance_2018,wasserstein_qn,mmd,ks_statistic,zero_fraction_mean,zero_fraction_2017,zero_fraction_2018,zero_fraction_delta,mutual_info_norm_2017,mutual_info_norm_2018,benign_shift,attack_shift,benign_shift_raw,attack_shift_raw,max_attack_shift,e1_agreement_rate,wasserstein_qn_calibrated,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,n_modes_2017,n_modes_2018,modality_mismatch,max_mode_shift,max_mode_mass_shift,zero_frac_2017,zero_frac_2018,zero_frac_delta,tail_wasserstein_qn,quadrant,imp_rank_delta_L
ACK Flag Count,0.021133910775959833,0.0016257966958748353,0.002948468832368034,0.002673003585312238,8,33,0.011379853735917335,20.5,0.0,-4.998276456458228e-06,45,70,-2.499138228229114e-06,57.5,0.0,6.739474248867377e-06,0.6973493749999999,0.36110543887500757,0.5262901839904849,0.39863876609190296,0.3707220314981956,0.6292779685018044,shifted,False,0,509.0,4112314.3628804637,66453.20872766238,0.1639637278186391,0.013617143350024286,0.1767,0.44942193175524037,0.49460513533591116,0.4042387281745695,0.09036640716134164,0.5225736312823932,0.7094158780810381,0.27769313783223243,0.9506563083823872,0.65430875,0.9764993750000001,0.998940750368418,1.0,0.5045825837622191,0.6596876144286709,3.578966701509864,0.9226366255792711,shape_change,0.0,7.0,2.0,p50,4.0,4.0,False,0.39863876609190296,0.18606000000000003,0.49460513533591116,0.4042387281745695,0.09036640716134164,0.07284344691723459,Q4_underused_stable,-25
Active Max,0.00039352279196717857,6.817308743929529e-05,0.0004970575299581505,0.0004896429895482955,55,60,0.00023084793970323694,57.5,0.0,1.8958979661827988e-06,42,51,9.479489830913994e-07,46.5,0.0,2.8268216936593855e-06,0.5384881250000001,0.052257417133640904,0.5130409001944386,0.10962120310601552,0.014344366214351504,0.9856556337856485,restructured,False,0,21503.0,1486532802986.5872,3493627364718.9717,0.30898249841249203,0.0003182698714165877,0.0447,0.7786223836304228,0.780842968437494,0.7764017988233516,0.004441169614142426,0.06704436061012276,0.13338006460043272,0.048061350719547674,0.09464572047256418,0.5471743750000001,0.557119375,0.4529925021358259,1.0,0.01325036158913717,1.3769094306194172,95226.89959936168,0.8000280474248848,shape_change,0.0,0.0,0.0,none,4.0,2.0,True,,,0.780842968437494,0.7764017988233516,0.004441169614142426,0.10962120310601552,Q3_noise,-5
Active Mean,8.709804880347694e-05,0.0004334637635156325,0.0007731147716657491,0.0011365427043918944,65,46,0.0002602809061595547,55.5,0.0,1.7235436056139974e-06,50,53,8.617718028069987e-07,51.5,0.0,2.43745874240074e-06,0.53498125,0.03131843052965931,0.5199467351750434,0.4921213837107164,0.012689282396616649,0.9873107176033834,shifted,False,0,21571.0,614804989502.3347,2391337071199.402,0.3106969726848633,0.00024483544701681126,0.0512,0.7786223836304228,0.780842968437494,0.7764017988233516,0.004441169614142426,0.0724100649849476,0.1385687121620361,0.09571382552351596,0.0792511561195321,0.559435,0.5506387499999998,0.4461015539714239,0.6,0.022062894453927822,2.206127080277037,71835.8300438632,0.7519706581420151,shape_change,0.0,0.0,0.0,none,4.0,4.0,False,0.4921213837107164,0.14868000000000003,0.780842968437494,0.7764017988233516,0.004441169614142426,0.11155797088985445,Q3_noise,19
Active Min,0.0002521533478984935,0.001127333468592164,0.003580376647949818,0.0038019555579324473,60,36,0.0006897434082453289,48.0,0.0,2.550844536363487e-05,39,26,1.2754222681817435e-05,32.5,0.0,1.8563132737427004e-06,0.5931206249999998,0.15470372455807518,0.5186547169070611,0.48610216259255046,0.01899040134138074,0.9810095986586193,shifted,False,0,18717.0,490800208726.2751,2182594857286.7146,0.30913211656058287,0.0,0.0541,0.7786223836304228,0.780842968437494,0.7764017988233516,0.004441169614142426,0.10942404692125358,0.14678825193703973,0.17522480156680184,0.09626466850568088,0.602045,0.5571325,0.4430283043875049,0.6,0.01637173198214614,3.3129319940875512,66972.98271594179,0.708934014505547,shape_change,0.0,0.0,0.0,none,4.0,4.0,False,0.48610216259255046,0.36654000000000003,0.780842968437494,0.7764017988233516,0.004441169614142426,0.11788131570657857,Q3_noise,24
Active Std,0.00011060175701351491,1.6902543523346493e-06,0.0008236062156993492,0.0007812641607156203,63,69,5.614600568292478e-05,66.0,0.0,0.0,55,59,0.0,57.0,0.0,0.0,0.504680625,-0.006089658132673772,0.5076786934483309,0.06033463107315536,0.013981388168389465,0.9860186118316105,stable,False,0,10787.0,223216376539.75632,323842579431.5756,0.4043293114465572,0.00020302504875391314,0.0167,0.8913264467728252,0.8975356673460447,0.8851172261996059,0.012418441146438863,0.07709162877089186,0.07830180913552097,-0.022011453321055204,0.005322625725480695,0.5093125000000001,0.505995,0.02332654027993123,0.2,0.011835295170114673,0.8181524496665852,249.4276117047773,0.9980791476938718,scale_change,0.0,0.0,0.0,none,4.0,3.0,True,,,0.8975356673460447,0.8851172261996059,0.012418441146438863,0.06033463107315536,Q3_noise,-6
Bwd Bulk Rate Avg,0.000476354860682463,3.7592995666478515e-06,0.01407544608451246,9.236690742136525e-05,51,68,0.0002400570801245554,59.5,7.538554320614862e-06,0.0,30,62,3.769277160307431e-06,46.0,7.435281574744544e-06,0.0,0.55796625,0.09443287633285562,0.5118708062082027,0.5000568347900514,0.008296535956093847,0.9917034640439062,collapsed,False,0,7002.0,94165476641607.02,3.364678975201324e+16,0.3782750780753904,0.0033827675849444905,0.0791,0.8997200947403539,0.8611230690108383,0.9383171204698695,0.07719405145903113,0.1092835307843869,0.0484500389986663,0.07397561544547768,0.23473454764605825,0.5401337500000001,0.6295000000000001,0.6465737907325646,0.6,0.0,1.9353487326820764,-1175237.7079719147,0.34059445868030536,shape_change,0.0,0.0,0.0,none,4.0,4.0,False,0.5000568347900514,0.30744000000000005,0.8611230690108383,0.9383171204698695,0.07719405145903113,0.11647044425222124,Q2_fragile_shortcut,-17
Bwd Bytes/Bulk Avg,0.00023237924417354443,1.449956960836879e-05,0.004827840431680252,0.0001940531664837281,61,65,0.00012343940689095662,63.0,0.0,0.0,51,63,0.0,57.0,0.0,0.0,0.550739375,0.08056369349416041,0.5113738474094653,0.18237833849169244,0.008864136269725473,0.9911358637302745,collapsed,False,0,4167.0,91579981213.895,21268240592.40444,0.37822885114425564,0.00284584572581581,0.0847,0.8997200947403539,0.8611230690108383,0.9383171204698695,0.07719405145903113,0.13550780562453715,0.04841686398609195,0.015995522547205765,0.24732280097699266,0.51374125,0.631,0.6394594166757329,0.6,0.0,0.29949405001917095,-164.02148756054203,0.8303554429529854,shape_change,0.0,0.0,0.0,none,3.0,4.0,True,,,0.8611230690108383,0.9383171204698695,0.07719405145903113,0.18237833849169244,Q3_noise,-4
Bwd Header Length,0.0008833153463700158,0.003032168993481744,0.0046403678949915456,0.015253484921115626,45,28,0.00195774216992588,36.5,0.0,1.7580144777614343e-05,44,31,8.790072388807172e-06,37.5,0.0,6.204756980358421e-06,0.7834118749999999,0.5460388108420555,0.5228928591852734,0.07582691703458516,0.6074278903130927,0.39257210968690726,restructured,False,0,864.0,688329.6391778463,368758.3015346967,0.07582691703458516,0.006479173130242932,0.1768,0.01997531652242624,0.026271452789576943,0.013679180255275536,0.012592272534301407,0.7973761124956636,0.7617834053392164,0.5524045048238979,0.8682677261743582,0.786176875,0.9392643749999999,0.9980912042000206,0.8,0.408104837514588,0.5685993237981632,39.815408345996026,0.9394896920301845,shape_change,-8.0,68.0,-20.0,p50,4.0,3.0,True,,,,,,,Q4_underused_stable,17
Bwd IAT Max,0.012614787316475286,0.005492217792095704,0.01172006136064125,0.012309031174913054,14,20,0.009053502554285494,17.0,7.397585786613388e-06,1.964839710438815e-05,31,28,1.3522991445500768e-05,29.5,9.26520197199825e-06,3.1023784902162177e-06,0.7768118749999999,0.5428321152603912,0.5118027043235499,0.5000186978796605,0.18568511875729007,0.8143148812427099,shifted,False,0,45146.0,199040147611960.38,514454624221711.6,0.08759793958969796,0.010699172165736792,0.156,0.309227917495727,0.24628564353606736,0.37217019145538655,0.1258845479193192,0.39863610397221055,0.465801057423124,0.6335893861715663,0.7483277329331912,0.82295,0.8804137500000001,1.0,0.8,0.6696272195084964,1.6059197768963982,2828312.0594586297,0.7231634870689836,shape_change,-1.0,45036.5,826232.5,p75,4.0,4.0,False,0.5000186978796605,0.16693999999999998,0.24628564353606736,0.37217019145538655,0.1258845479193192,0.18075565127825635,Q1_good,-6
Bwd IAT Mean,0.0030754599384507308,0.0009149959740464092,0.005596406547142536,0.004240894177856858,32,38,0.00199522795624857,35.0,8.92747991794174e-06,1.895897966213885e-05,29,30,1.3943229790040295e-05,29.5,6.4988991609922475e-06,3.083168531561415e-06,0.7559925000000001,0.49074044644189513,0.5208582768940446,0.19354636203181022,0.16662336383769047,0.8333766361623095,restructured,False,0,49328.0,94747266664338.31,42205381497277.83,0.09503104735523678,0.015087837057004005,0.169,0.309227917495727,0.24628564353606736,0.37217019145538655,0.1258845479193192,0.3575593985112539,0.4660019133364946,0.6339427958714237,0.6220366807498114,0.822459375,0.8175100000000001,1.0,1.0,0.7761733069389674,0.5316550222475336,897633.1669334746,0.7508326894380145,shape_change,-1.0,23328.5,386093.1911449753,p75,3.0,4.0,True,,,0.24628564353606736,0.37217019145538655,0.1258845479193192,0.19354636203181022,Q1_good,-6
