feature,Botnet,BruteForce,DDoS,DoS,Infiltration,WebAttack
Protocol,0.2583819449999999,0.2583819449999999,0.2572943369759723,0.2583819449999999,0.2518028577047317,0.2583819449999999
Dst Port,0.9852938944444444,0.977860329134213,0.0233362891666666,0.0233362891666666,0.5838842763657186,0.0233362891666666
Fwd Packet Length Max,0.1839899112390964,-0.0868035394263347,-0.0912448826166944,0.2052748282711718,0.815094446150829,0.5744892937805791
Total Length of Bwd Packet,0.0919307004832678,0.1331613256743111,0.2755734997168585,0.2549556976091885,0.7977143767404337,0.855842931083571
Total Bwd packets,0.0706929591435427,0.800371866574044,0.0633830731810899,0.0751135837565552,0.3407872016305502,0.792749919649871
Flow Duration,0.0229670644614046,0.0561236155722547,0.033706797728827,0.001520514332078,0.7490717554688492,0.425444883684878
Total Fwd Packet,0.0459644009747296,0.6809715547774496,0.0550509218515601,0.0695187001923338,0.1978501757216512,0.8158917970845979
Total Length of Fwd Packet,0.0878599367042574,0.4825418157716995,0.0315398445892838,0.1074701609962631,0.8168226638400773,0.8605495985993137
Fwd Packet Length Mean,-0.0514251946178451,-0.0732161053005998,0.0643654750354934,0.0828654089156155,0.8404731680175829,0.8687514183191383
Fwd Packet Length Min,0.2622915566666666,0.2622915566666666,0.2615270884847223,0.2599944469076488,0.2519486596489089,0.2622915566666666
Fwd Packet Length Std,0.2670243520619484,0.2145148903704571,0.1136358550966177,0.3092286798697444,0.1639070440677273,0.8110991104045484
Bwd Packet Length Max,0.0043220147175076,-0.0868409399585316,0.338795761362548,0.3143991942840201,0.7951754531324053,0.4411623167980993
Bwd Packet Length Std,0.0319388807165001,0.1308027679950546,0.5557466322265108,0.4890517565520925,0.1512486863206819,0.2936032012569841
Bwd Packet Length Min,0.2632400541666667,0.2632046153498967,0.2632400541666667,0.2632400541666667,0.2588054870971255,0.2632400541666667
Bwd Packet Length Mean,0.6034797205458253,0.040713865079276,0.4828726619397196,0.3916783188702946,0.8105635443170524,0.8079935449352179
Flow Bytes/s,0.0083788616310284,-0.2001578388210505,-0.0589260920157296,0.0840137709881132,0.8261941428325292,0.0014330218979341
Flow Packets/s,0.1030199578755793,-0.1010330773953275,-0.0836340207667873,0.0080244027218144,0.7168478883749294,0.1877019965324213
Flow IAT Mean,0.1524666088270927,-0.1301068597104319,-0.107348419456304,0.0199113321043044,0.7056308116629801,0.1689088268442511
Flow IAT Max,-0.0499766063192969,0.0059515359923866,0.0319176264621064,0.0041482406636844,0.7324789213243843,0.1985005977785988
