feature,separation_stability,axis1_shift_calibrated
Protocol,0.25838194499999995,0.0
Dst Port,0.9852938944444443,0.0
Fwd Packet Length Max,0.18398991123909642,0.9994746159077675
Total Length of Bwd Packet,0.09193070048326789,0.9994714223995603
Total Bwd packets,0.07069295914354275,0.8876503093715865
Flow Duration,0.02296706446140467,0.9858981805856231
Total Fwd Packet,0.045964400974729626,0.13073910437243758
Total Length of Fwd Packet,0.08785993670425746,0.9942056521111157
Fwd Packet Length Mean,-0.05142519461784515,0.9994715472134944
Fwd Packet Length Min,0.26229155666666665,0.0
Fwd Packet Length Std,0.2670243520619484,1.0
Bwd Packet Length Max,0.004322014717507646,1.0
Bwd Packet Length Std,0.031938880716500154,0.9902809769071929
Bwd Packet Length Min,0.26324005416666674,0.0
Bwd Packet Length Mean,0.6034797205458253,0.991847769528883
Flow Bytes/s,0.008378861631028444,0.9825684513689447
Flow Packets/s,0.10301995787557933,0.9439289065447264
Flow IAT Mean,0.1524666088270927,0.9455426082261082
Flow IAT Max,-0.049976606319296964,0.9859195630915796
Flow IAT Std,-0.026889574709327447,0.9828154450563021
Flow IAT Min,-0.10526338225209386,0.8643362138720222
Fwd IAT Total,-0.04727544066097333,0.9930154512783239
Fwd IAT Mean,-0.05580957968068108,0.9265528260785769
Fwd IAT Std,0.01651821345172219,0.9833651128625869
Fwd IAT Max,-0.0611727550777351,0.9901721824110101
Fwd IAT Min,0.12092583218805573,0.6775793909872435
Bwd IAT Mean,0.013260699096193285,0.952913136368734
Bwd IAT Total,0.009942995752120695,0.9828114343639075
Fwd PSH Flags,0.020550333888888852,0.0
Bwd IAT Std,0.038988390009640106,0.9805404575397214
Fwd URG Flags,0.0,0.0
Bwd IAT Max,0.011978028193169458,0.9842437029500894
Bwd IAT Min,0.07199488766013049,0.9773103633223774
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.1057415476602627,0.8982810519027912
Bwd RST Flags,0.005093362500000019,0.0
Fwd RST Flags,0.0151098813526852,0.0
Bwd Header Length,0.07233225347806176,0.8887396849098
Fwd Header Length,0.045350430118274214,0.13112508602174805
Fwd Packets/s,0.11041213227119372,0.9566745464302555
Bwd Packets/s,0.09752844667599371,0.9458430730154724
FIN Flag Count,0.540217079741111,0.0
Packet Length Min,0.26160549999999994,0.0
Packet Length Mean,0.409881749067128,1.0
Packet Length Std,0.04764692973455769,1.0
RST Flag Count,0.033441697577083304,0.0
SYN Flag Count,0.31635388000000003,0.0
Packet Length Max,0.0704476461645094,1.0
URG Flag Count,0.0,0.0
Packet Length Variance,0.04764692973455765,0.9994732828895515
PSH Flag Count,0.07227492987907458,0.9006894279651533
CWR Flag Count,0.00038589833333336874,1.0
ECE Flag Count,0.00025310999999997216,1.0
Down/Up Ratio,-0.1532273899175107,0.996970833071892
ACK Flag Count,0.05985378755012994,0.9955821766468583
Average Packet Size,0.4098817219676975,1.0
Fwd Segment Size Avg,-0.051432759082288594,0.9994733798129508
Fwd Bytes/Bulk Avg,6.558511439464825e-06,0.042792533213725746
Bwd Segment Size Avg,0.6034686244360916,0.9906606635370132
Fwd Packet/Bulk Avg,6.5393298288808164e-06,0.038585321708306974
Subflow Fwd Packets,0.00019716666666666366,0.0
Bwd Bytes/Bulk Avg,0.006619273611111117,0.0
Fwd Bulk Rate Avg,6.302075865139052e-06,0.034827564237304036
Bwd Packet/Bulk Avg,0.006619273611111117,0.0
Bwd Bulk Rate Avg,0.006619273611111117,0.0
Subflow Bwd Packets,0.0,0.0
Subflow Fwd Bytes,0.0035036420901781154,0.9994672303827538
Fwd Seg Size Min,0.19641649999999997,0.0
FWD Init Win Bytes,0.22425449833333339,0.0
Fwd Act Data Pkts,0.00014749285268828442,0.038365958330000775
Subflow Bwd Bytes,0.6048507870411554,0.9213424532713921
Bwd Init Win Bytes,0.3113207111914676,0.9928925819635317
Active Mean,0.05692612785316658,-0.0016839289647298335
Active Std,0.015595002222222223,0.0
Active Max,0.056926128537055525,0.0
Active Min,0.0569255740399444,0.0
Idle Min,0.057606517264037,0.0
Idle Mean,0.05760663487159257,0.0
ICMP Code,5.949999999999689e-07,0.0
Idle Max,0.0576072966211481,0.0
ICMP Type,5.949999999999689e-07,0.0
Idle Std,0.016359750000000017,0.0
Total TCP Flow Time,0.02343324710245199,0.9826760400364939
