feature,separation_stability,axis1_shift_calibrated
Protocol,0.25838194499999995,0.0
Dst Port,0.977860329134213,0.5424199133063463
Fwd Packet Length Max,-0.08680353942633476,0.5556522841100514
Total Length of Bwd Packet,0.13316132567431113,0.9994782307374513
Total Bwd packets,0.800371866574044,1.0
Flow Duration,0.05612361557225471,1.0
Total Fwd Packet,0.6809715547774496,0.8861718743117322
Total Length of Fwd Packet,0.4825418157716995,0.9884223995067084
Fwd Packet Length Mean,-0.07321610530059984,0.9873192722266133
Fwd Packet Length Min,0.26229155666666665,0.0
Fwd Packet Length Std,0.21451489037045718,0.9921298828952341
Bwd Packet Length Max,-0.08684093995853168,0.5519347516497154
Bwd Packet Length Std,0.1308027679950546,0.9989712668036272
Bwd Packet Length Min,0.2632046153498967,0.0
Bwd Packet Length Mean,0.040713865079276025,0.9989539859554439
Flow Bytes/s,-0.2001578388210505,1.0
Flow Packets/s,-0.10103307739532752,1.0
Flow IAT Mean,-0.13010685971043193,1.0
Flow IAT Max,0.005951535992386687,1.0
Flow IAT Std,0.03228933476667159,1.0
Flow IAT Min,0.08669854767624392,0.6626959719375949
Fwd IAT Total,0.06591277387555652,1.0
Fwd IAT Mean,-0.07411096714066864,1.0
Fwd IAT Std,0.01415715022894212,1.0
Fwd IAT Max,0.00791592756118206,1.0
Fwd IAT Min,0.21015134841445784,0.816932934821399
Bwd IAT Mean,0.001098973710750728,1.0
Bwd IAT Total,0.08338716498125612,1.0
Fwd PSH Flags,0.9286046747451802,0.5764400844931483
Bwd IAT Std,0.07682306494622704,1.0
Fwd URG Flags,0.0,0.0
Bwd IAT Max,0.03545489593085116,1.0
Bwd IAT Min,0.004561069354174509,0.9778445775375058
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.8930385139505903,0.567535230351846
Bwd RST Flags,-0.08817510625250405,0.5349371325633177
Fwd RST Flags,0.01505001638059525,0.0
Bwd Header Length,0.8508507690150879,0.9980912042000206
Fwd Header Length,0.7666577921978975,0.8912886594798224
Fwd Packets/s,-0.1133461750838412,1.0
Bwd Packets/s,-0.09189754192802761,1.0
FIN Flag Count,0.5398958593834957,-0.0005214200501042074
Packet Length Min,0.26160549999999994,0.0
Packet Length Mean,-0.1007091374480194,0.9946965534237361
Packet Length Std,-0.0494564244680603,0.9979099349734779
RST Flag Count,-0.18260990952513736,0.542564948909296
SYN Flag Count,0.31635584669623545,0.0004999999999999449
Packet Length Max,-0.09348674621796714,0.5516977937608778
URG Flag Count,0.0,0.0
Packet Length Variance,-0.04945642446806026,0.9989744308426844
PSH Flag Count,0.9097280864363675,0.5774202001444741
CWR Flag Count,0.0001568875000000144,0.0
ECE Flag Count,0.00012360833333331973,0.0
Down/Up Ratio,0.012203449073797194,0.9951109035959506
ACK Flag Count,0.7463805948789993,0.998940750368418
Average Packet Size,-0.10070911561909908,0.9940874730946716
Fwd Segment Size Avg,-0.07321433972934739,0.9891706431724121
Fwd Bytes/Bulk Avg,0.00031868093177556394,-0.0004835003375523647
Bwd Segment Size Avg,0.04071397216822803,0.9994759378596348
Fwd Packet/Bulk Avg,0.0003189841495584707,0.0003036637038931032
Subflow Fwd Packets,0.00019716666666666366,0.0
Bwd Bytes/Bulk Avg,0.006403802936559443,0.0004876295968370974
Fwd Bulk Rate Avg,0.000318123765565649,-0.002354415459441338
Bwd Packet/Bulk Avg,0.006392566023005906,0.000689984080933076
Bwd Bulk Rate Avg,0.006406748568881517,-4.753595751923929e-05
Subflow Bwd Packets,0.0,0.0
Subflow Fwd Bytes,-0.10065084998385644,0.9945970786579454
Fwd Seg Size Min,0.8369470278969342,-0.0016631070291303056
FWD Init Win Bytes,0.7625480308436305,1.0
Fwd Act Data Pkts,0.8604408489304775,0.5654197359160011
Subflow Bwd Bytes,0.03290505633528085,0.9989315516216305
Bwd Init Win Bytes,0.037580837301517456,0.999475788615124
Active Mean,0.056859814887975424,0.0
Active Std,0.015595002222222223,0.0
Active Max,0.05686088351282909,0.0009999999999998899
Active Min,0.056859640305142865,0.0
Idle Min,0.05754433379168869,0.0
Idle Mean,0.05754433379168869,0.0
ICMP Code,5.949999999999689e-07,0.0
Idle Max,0.05754433379168869,0.0
ICMP Type,5.949999999999689e-07,0.0
Idle Std,0.016359750000000017,0.0
Total TCP Flow Time,0.028716622776774663,1.0
