feature,separation_stability,axis1_shift_calibrated
Protocol,0.2572943369759723,-0.00010974467333380328
Dst Port,0.02333628916666667,0.0
Fwd Packet Length Max,-0.0912448826166944,0.7750358360977665
Total Length of Bwd Packet,0.2755734997168585,1.0
Total Bwd packets,0.06338307318108993,0.5563353903330981
Flow Duration,0.03370679772882707,0.8950482672634117
Total Fwd Packet,0.0550509218515601,0.9989112568617158
Total Length of Fwd Packet,0.031539844589283814,0.7706014761618516
Fwd Packet Length Mean,0.06436547503549346,0.9994820457804388
Fwd Packet Length Min,0.2615270884847223,-0.0007021648522788478
Fwd Packet Length Std,0.11363585509661772,0.9994579131211618
Bwd Packet Length Max,0.338795761362548,1.0
Bwd Packet Length Std,0.5557466322265108,1.0
Bwd Packet Length Min,0.26324005416666674,0.0
Bwd Packet Length Mean,0.48287266193971967,1.0
Flow Bytes/s,-0.05892609201572968,0.937617337842806
Flow Packets/s,-0.08363402076678735,0.9141573706364174
Flow IAT Mean,-0.107348419456304,0.9295523249733944
Flow IAT Max,0.031917626462106406,0.8933270192353007
Flow IAT Std,0.017117777685189347,0.9153905347322431
Flow IAT Min,0.20391185161658304,0.5679814186600304
Fwd IAT Total,0.021227380293817984,0.9165286550499243
Fwd IAT Mean,0.019112157140589718,0.9309358818966281
Fwd IAT Std,0.10043074283521362,0.921734109919898
Fwd IAT Max,0.034181206321775376,0.9054877380851492
Fwd IAT Min,-0.06506628551771883,0.8778420797515109
Bwd IAT Mean,0.02607798026485738,0.6856137362138213
Bwd IAT Total,0.012729862510557261,0.6278871384233846
Fwd PSH Flags,0.02025378638294629,-0.00033330222531159436
Bwd IAT Std,0.09037788509159561,0.63231698894408
Fwd URG Flags,0.0,0.0
Bwd IAT Max,0.029558407284604335,0.6175229879169758
Bwd IAT Min,0.07681614134647206,0.9741296725952033
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.0451120743370862,0.0344113759829556
Bwd RST Flags,0.005093362500000019,0.0
Fwd RST Flags,0.007620814608241391,0.7575536276504801
Bwd Header Length,0.062317952532615746,0.5527163201470987
Fwd Header Length,0.05331996370930826,0.9999649756305632
Fwd Packets/s,-0.08209431938430331,0.925179633103622
Bwd Packets/s,-0.0852239460841305,0.9044214768226214
FIN Flag Count,0.343603230770596,0.4856160249258812
Packet Length Min,0.260842143,-0.002426710585417034
Packet Length Mean,0.28480960053187526,1.0
Packet Length Std,0.4807951310291135,1.0
RST Flag Count,-0.13841115120015834,0.7926570493178832
SYN Flag Count,0.315686909058879,0.0022460932691624074
Packet Length Max,0.33023739893867626,1.0
URG Flag Count,0.0,0.0
Packet Length Variance,0.4807950193832117,0.9994832177197664
PSH Flag Count,0.02922331210208607,0.030074815169412357
CWR Flag Count,0.00038517286133336865,0.9969039676221105
ECE Flag Count,0.0002526285193610833,0.9978817405488787
Down/Up Ratio,0.053490478409118525,0.9861786774750574
ACK Flag Count,0.05956673354850464,0.9977670769619379
Average Packet Size,0.28480796822700577,1.0
Fwd Segment Size Avg,0.06437655493931002,0.9994766013770172
Fwd Bytes/Bulk Avg,0.00024592098892593046,0.0
Bwd Segment Size Avg,0.4828726623435014,1.0
Fwd Packet/Bulk Avg,0.0002459119705925947,0.0003516130456817531
Subflow Fwd Packets,0.00017062499999999841,-0.000777491800662705
Bwd Bytes/Bulk Avg,0.00700356471736574,0.1891063993883222
Fwd Bulk Rate Avg,0.00024686898753703963,0.00030428813073178233
Bwd Packet/Bulk Avg,0.006037020130893522,0.18850071268850288
Bwd Bulk Rate Avg,0.007871293153046289,0.17137386839897106
Subflow Bwd Packets,0.0,0.0
Subflow Fwd Bytes,0.05678981878448962,0.9986915080391499
Fwd Seg Size Min,0.19175082427309367,0.002882666426741919
FWD Init Win Bytes,0.42446435932352267,0.7870218851478701
Fwd Act Data Pkts,0.0007419566700822859,0.0017722087920980234
Subflow Bwd Bytes,0.5128983875643488,0.9999986837518295
Bwd Init Win Bytes,0.29543234145600006,1.0
Active Mean,0.012389720511303735,0.4461015539714239
Active Std,0.015595002222222223,0.0
Active Max,0.013381074234296592,0.4529925021358259
Active Min,0.012338649538032782,0.4430283043875049
Idle Min,0.015277581766154706,0.5596957283077814
Idle Mean,0.015434324032705369,0.5562615335488861
ICMP Code,5.949999999999689e-07,0.0
Idle Max,0.01586261083367831,0.5470705227334566
ICMP Type,5.949999999999689e-07,0.0
Idle Std,0.016359750000000017,0.0
Total TCP Flow Time,0.031028459436057233,0.9016208377331004
