feature,separation_stability,axis1_shift_calibrated
Protocol,0.25838194499999995,0.0
Dst Port,0.02333628916666667,0.0
Fwd Packet Length Max,0.2052748282711718,-0.006186725816775039
Total Length of Bwd Packet,0.2549556976091885,0.9992768773360623
Total Bwd packets,0.07511358375655523,0.847174029778996
Flow Duration,0.0015205143320780599,0.6677824152053033
Total Fwd Packet,0.06951870019233383,0.9364695382760784
Total Length of Fwd Packet,0.10747016099626315,0.025814420785898077
Fwd Packet Length Mean,0.08286540891561553,0.829035468582192
Fwd Packet Length Min,0.2599944469076488,0.0018041175313521177
Fwd Packet Length Std,0.3092286798697444,0.6791621607077994
Bwd Packet Length Max,0.31439919428402013,0.9988159682098422
Bwd Packet Length Std,0.4890517565520925,0.9987989401049618
Bwd Packet Length Min,0.26324005416666674,0.0
Bwd Packet Length Mean,0.39167831887029464,0.9982652700467582
Flow Bytes/s,0.08401377098811323,0.9158931535212628
Flow Packets/s,0.00802440272181443,0.5921792077509329
Flow IAT Mean,0.019911332104304475,0.5820183044635631
Flow IAT Max,0.004148240663684459,0.8159724706403342
Flow IAT Std,0.004057881994501484,0.7739240096104557
Flow IAT Min,0.25322454939978667,0.9535079304937167
Fwd IAT Total,0.012677461590431365,0.6904846515633958
Fwd IAT Mean,0.006912141287908108,0.575617260064749
Fwd IAT Std,0.02659222190056291,0.7250541459438025
Fwd IAT Max,0.004449639893022424,0.8016796651860879
Fwd IAT Min,-0.2198130702578143,0.9703071237913677
Bwd IAT Mean,0.015430431960390982,0.4981379539006071
Bwd IAT Total,0.0196281579866185,0.6508448670999415
Fwd PSH Flags,0.030251481294998096,-0.02486393869637924
Bwd IAT Std,0.06570867020886867,0.7573681998088629
Fwd URG Flags,0.0,0.0
Bwd IAT Max,0.019732602245458072,0.8294903955270956
Bwd IAT Min,0.10948143475158625,0.8865867401570693
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.04183208973174776,0.013992563456257526
Bwd RST Flags,0.002820584588977766,0.005268550962611744
Fwd RST Flags,-0.1808563672360227,0.9293311814097402
Bwd Header Length,0.2648350420617517,0.842331648031268
Fwd Header Length,0.21204922650816024,0.9183666932269724
Fwd Packets/s,0.009061589243511732,0.5744735408695454
Bwd Packets/s,0.007544911737661005,0.5077749938510372
FIN Flag Count,0.37715068792625983,0.6621875865886804
Packet Length Min,0.26160549999999994,0.0
Packet Length Mean,0.31230866223153403,0.9943232308360702
Packet Length Std,0.43851960304951,0.9946572099609041
RST Flag Count,-0.3039154612279046,0.95110376149226
SYN Flag Count,0.3426873368762234,0.07194877791549487
Packet Length Max,0.31737562314920237,0.9994748046473524
URG Flag Count,0.0,0.0
Packet Length Variance,0.4385196030495102,0.9935275957618283
PSH Flag Count,0.0363812507037072,0.008898881484218375
CWR Flag Count,0.0001568875000000144,0.0
ECE Flag Count,0.00012360833333331973,0.0
Down/Up Ratio,0.014890756296960747,0.7256416126596011
ACK Flag Count,0.07330440098189578,0.9119059550142871
Average Packet Size,0.3122984654706534,0.9933131415967692
Fwd Segment Size Avg,0.08277861157297423,0.8129167020728069
Fwd Bytes/Bulk Avg,2.1908979971717507e-05,0.017272338832085395
Bwd Segment Size Avg,0.39167841440666457,0.9993968085207504
Fwd Packet/Bulk Avg,2.2766514053593714e-05,0.018235037446114395
Subflow Fwd Packets,0.00019716666666666366,0.0
Bwd Bytes/Bulk Avg,0.036850909268819454,0.6394594166757329
Fwd Bulk Rate Avg,2.506663139815753e-05,0.013471299482656659
Bwd Packet/Bulk Avg,0.03391264694563891,0.6626549783983277
Bwd Bulk Rate Avg,0.04045113225866206,0.6465737907325646
Subflow Bwd Packets,0.0,0.0
Subflow Fwd Bytes,0.13100305852534128,0.8614155476181905
Fwd Seg Size Min,0.6335248476854448,0.4643448481871912
FWD Init Win Bytes,0.7416704124897895,1.0
Fwd Act Data Pkts,0.0005469536419096516,0.0023120784623097365
Subflow Bwd Bytes,0.3954999166361011,0.9993547211771836
Bwd Init Win Bytes,0.2918529300777955,0.9992531376701971
Active Mean,0.0385909563790587,0.0450314709651024
Active Std,0.010084659437213591,0.02332654027993123
Active Max,0.038568138545793794,0.05260409382394711
Active Min,0.040596765282670824,0.0708750707836935
Idle Min,0.034896719619514315,0.04138189551811034
Idle Mean,0.03332602693542607,0.061557446216273196
ICMP Code,5.949999999999689e-07,0.0
Idle Max,0.03287668760625481,0.07350441685126073
ICMP Type,5.949999999999689e-07,0.0
Idle Std,0.010147075641764496,0.024628332713268173
Total TCP Flow Time,0.00029564769796625647,0.651797203553245
