feature,separation_stability,axis1_shift_calibrated
Protocol,0.2518028577047317,0.004113392120902447
Dst Port,0.5838842763657186,0.06891640205692434
Fwd Packet Length Max,0.815094446150829,0.028029936789461782
Total Length of Bwd Packet,0.7977143767404337,0.03891938179797334
Total Bwd packets,0.3407872016305502,0.7666945690038456
Flow Duration,0.7490717554688492,0.9523433071478449
Total Fwd Packet,0.19785017572165123,0.7466075853423743
Total Length of Fwd Packet,0.8168226638400773,0.051962665077476884
Fwd Packet Length Mean,0.8404731680175829,0.05248792080379699
Fwd Packet Length Min,0.25194865964890895,0.002037162530837739
Fwd Packet Length Std,0.16390704406772735,0.04689207998954084
Bwd Packet Length Max,0.7951754531324053,0.03657190770596856
Bwd Packet Length Std,0.15124868632068195,0.03470537110052603
Bwd Packet Length Min,0.25880548709712553,0.0015807652494479625
Bwd Packet Length Mean,0.8105635443170524,0.04087068065230184
Flow Bytes/s,0.8261941428325292,0.046755257342709675
Flow Packets/s,0.7168478883749294,0.9654831893687771
Flow IAT Mean,0.7056308116629801,0.9617776063920455
Flow IAT Max,0.7324789213243843,0.9571004563535399
Flow IAT Std,0.36423129339578003,0.3903352546871226
Flow IAT Min,0.002546631821388454,0.8507661772315065
Fwd IAT Total,0.16198632750785755,0.7704527020909214
Fwd IAT Mean,0.15849419265651166,0.7735968960992741
Fwd IAT Std,0.19296070090339548,0.07188465309285616
Fwd IAT Max,0.16067928958454253,0.7670957425661962
Fwd IAT Min,0.029324505007508772,0.7914705735980427
Bwd IAT Mean,0.2903709328290893,0.3874670063916828
Bwd IAT Total,0.2936459253368257,0.36452103462785573
Fwd PSH Flags,0.1457559892752883,0.04387625208625382
Bwd IAT Std,0.1381321995449618,0.07223721116948696
Fwd URG Flags,1.228888888888956e-05,-0.0006146060903508572
Bwd IAT Max,0.29002650940080504,0.38786965399513224
Bwd IAT Min,0.20130330294413848,0.36765423632499267
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.14306585075447806,0.03584993330629518
Bwd RST Flags,0.39888623765883496,0.7428094765280503
Fwd RST Flags,0.014998527397673047,-0.00019871079638972934
Bwd Header Length,0.033249127218178375,0.7848540967198093
Fwd Header Length,-0.029786738616161774,0.7788090837377658
Fwd Packets/s,0.715320301035594,0.9460932121053912
Bwd Packets/s,0.08170448464767911,0.9581021115421423
FIN Flag Count,0.06859589535005954,0.03945431470158648
Packet Length Min,0.25148847105764893,0.004959059079197702
Packet Length Mean,0.8408276648296668,0.05232137291007614
Packet Length Std,0.7936062238843288,0.034462697025522314
RST Flag Count,0.2521604167052196,0.7190513344680534
SYN Flag Count,0.02966716996322863,0.6882805286106137
Packet Length Max,0.8222404790039148,0.03554921879013207
URG Flag Count,1.228888888888956e-05,0.0006795056594678063
Packet Length Variance,0.7934123091619716,0.03911396034063775
PSH Flag Count,0.14833218790327377,0.0367792107334842
CWR Flag Count,7.242174606905314e-06,0.059735527659453676
ECE Flag Count,3.1589289185728036e-05,0.05480006296512959
Down/Up Ratio,-0.06996128463320235,0.42023230260284816
ACK Flag Count,0.00036053218963702933,0.7827824464181266
Average Packet Size,0.8408270966264529,0.05125937551675645
Fwd Segment Size Avg,0.8404748244109562,0.03043011303260194
Fwd Bytes/Bulk Avg,3.94054115737675e-05,-0.002865217370373988
Bwd Segment Size Avg,0.8105641685119143,0.02744731331462381
Fwd Packet/Bulk Avg,4.0038908250632417e-05,0.0037043940040203207
Subflow Fwd Packets,0.009780531111111157,0.3771975674887945
Bwd Bytes/Bulk Avg,0.0065760755200717745,0.0
Fwd Bulk Rate Avg,4.1334830316454516e-05,-0.0018232791323075633
Bwd Packet/Bulk Avg,0.006576213096542457,0.0
Bwd Bulk Rate Avg,0.006576714229123601,0.0
Subflow Bwd Packets,0.0,0.0
Subflow Fwd Bytes,0.8322797605086067,0.045645532167685694
Fwd Seg Size Min,0.6443927889006859,0.08832936704640615
FWD Init Win Bytes,0.00036367092230774864,0.07359989987572339
Fwd Act Data Pkts,0.4159560941132814,0.031212948679517145
Subflow Bwd Bytes,0.8088903058341483,0.04104934493513027
Bwd Init Win Bytes,0.12885659854283443,0.03000713072582698
Active Mean,0.03784764082480668,0.048401777723449314
Active Std,0.01446327836353178,0.002070628063657272
Active Max,0.038068113555704844,0.0451201305419754
Active Min,0.038173523837066806,0.060456524845478046
Idle Min,0.04171832566948216,0.03824681331564345
Idle Mean,0.04225964505817562,0.03752813257720659
ICMP Code,2.1968044130222795e-07,-0.00379018074601623
Idle Max,0.041103417128369776,0.05198308168753484
ICMP Type,2.1756851520605953e-07,-0.0002768723316142876
Idle Std,0.010525527365610785,0.021684087171454976
Total TCP Flow Time,0.02400345471766369,0.9524531845870065
