feature,separation_stability,axis1_shift_calibrated
Protocol,0.25838194499999995,0.0
Dst Port,0.02333628916666667,0.0
Fwd Packet Length Max,0.5744892937805791,0.9599890355839903
Total Length of Bwd Packet,0.855842931083571,0.9375933852213941
Total Bwd packets,0.792749919649871,-0.01669564615819188
Flow Duration,0.42544488368487804,0.8734683264309363
Total Fwd Packet,0.8158917970845979,0.758690721221863
Total Length of Fwd Packet,0.8605495985993137,0.9351029318357855
Fwd Packet Length Mean,0.8687514183191383,0.9308664291585572
Fwd Packet Length Min,0.26229155666666665,0.0
Fwd Packet Length Std,0.8110991104045484,0.8832127033082934
Bwd Packet Length Max,0.4411623167980993,0.5701500006290185
Bwd Packet Length Std,0.29360320125698414,0.8878049995322618
Bwd Packet Length Min,0.26324005416666674,0.0
Bwd Packet Length Mean,0.8079935449352179,0.8370870462450426
Flow Bytes/s,0.001433021897934182,0.8969853641020937
Flow Packets/s,0.1877019965324213,0.7011556664090965
Flow IAT Mean,0.16890882684425113,0.7562414349335698
Flow IAT Max,0.19850059777859888,0.8114220351199916
Flow IAT Std,0.20015644416168327,0.7724624833564346
Flow IAT Min,-0.08321009285698104,0.36554763100900434
Fwd IAT Total,0.49887899831815696,0.8645298160618179
Fwd IAT Mean,0.1964762897820966,0.9024758834980432
Fwd IAT Std,0.2681165927557305,0.7809587630271004
Fwd IAT Max,0.15869610772043288,0.781604187294414
Fwd IAT Min,0.2407853684085349,0.874246748585617
Bwd IAT Mean,0.2330125500885659,0.9236765316828163
Bwd IAT Total,0.4369947931250941,0.8927667022553675
Fwd PSH Flags,0.8052440698560525,-0.21371347467773544
Bwd IAT Std,0.2740155173131286,0.8498088672978972
Fwd URG Flags,0.0,0.0
Bwd IAT Max,0.21136796765850105,0.8201023637607144
Bwd IAT Min,0.08466719215168306,0.8426141408386252
Bwd URG Flags,0.0,0.0
Bwd PSH Flags,0.8123583656426112,-0.220846727423318
Bwd RST Flags,0.005093362500000019,0.0
Fwd RST Flags,0.014619975800942306,-0.013774988470715592
Bwd Header Length,0.8052649140213696,0.9595982124560479
Fwd Header Length,0.8296974598545424,0.9556559239344412
Fwd Packets/s,0.16558752018060455,0.8703033497105577
Bwd Packets/s,0.2031453979827701,0.9045402150178854
FIN Flag Count,0.5350379756419317,-0.013179728776058924
Packet Length Min,0.26160549999999994,0.0
Packet Length Mean,0.8052249854077288,0.9167690813050087
Packet Length Std,0.5626262099685152,0.8975173909380078
RST Flag Count,0.032806600243423606,-0.026470145886599298
SYN Flag Count,0.31635388000000003,0.0
Packet Length Max,0.4191271926568494,0.5156547501814477
URG Flag Count,0.0,0.0
Packet Length Variance,0.5626262099685148,0.9033228881709986
PSH Flag Count,0.8069448949480157,-0.17666434480202334
CWR Flag Count,0.00038589833333336874,1.0
ECE Flag Count,0.00025310999999997216,1.0
Down/Up Ratio,0.6398242949383326,0.7412186876083899
ACK Flag Count,0.8096176134682205,0.7158646259312497
Average Packet Size,0.8052259949348876,0.9123990046346923
Fwd Segment Size Avg,0.8687476516642884,0.9242522297417644
Fwd Bytes/Bulk Avg,0.0003366844444444423,0.0
Bwd Segment Size Avg,0.8079936015770061,0.8195967094583093
Fwd Packet/Bulk Avg,0.0003366844444444423,0.0
Subflow Fwd Packets,0.00019716666666666366,0.0
Bwd Bytes/Bulk Avg,0.0040403448861405615,-0.010181246118195255
Fwd Bulk Rate Avg,0.0003366844444444423,0.0
Bwd Packet/Bulk Avg,0.004210989983313704,-0.009942421539210055
Bwd Bulk Rate Avg,0.004031867697290953,-0.018166863213390283
Subflow Bwd Packets,0.0,0.0
Subflow Fwd Bytes,0.8886000829331641,0.900390385629902
Fwd Seg Size Min,0.3444236816666665,1.0
FWD Init Win Bytes,0.36075490083333345,1.0
Fwd Act Data Pkts,0.7435359015582435,-0.1512998025665196
Subflow Bwd Bytes,0.7243770279043783,0.8801780926422035
Bwd Init Win Bytes,0.5044273733188649,0.9394718805015098
Active Mean,0.023676606513394365,-0.06424007726045695
Active Std,0.015595002222222223,0.0
Active Max,0.02404206863749966,-0.04035174962277262
Active Min,0.02279436632440879,-0.07664235453903205
Idle Min,0.02612804687157405,-0.004993993455667994
Idle Mean,0.026138843286738146,-0.03936123852563786
ICMP Code,5.949999999999689e-07,0.0
Idle Max,0.02613916907714767,-0.07136985999003205
ICMP Type,5.949999999999689e-07,0.0
Idle Std,0.016359750000000017,0.0
Total TCP Flow Time,0.36833666311127716,0.8753571234181726
