feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
Protocol,0.543953125,0.06534671489406992,0.5975975,0.5,0.1643266163702204,-0.0016702936462231889,benign,0.5975975,0.5,0.5,0.50075,0.5,0.505495,0.5,0.0,0.0,-0.00010974467333380328,0.0,0.004113392120902447,0.0
Dst Port,0.6985849999999999,0.3826282194288625,0.669663125,0.731973125,0.3096972199252008,0.43748485921769553,BruteForce,0.7815000000000001,0.5,0.7815000000000001,0.5,0.5,0.5546156250000001,0.5,0.0,0.5424199133063463,0.0,0.0,0.06891640205692434,0.0
Fwd Packet Length Max,0.7242625,0.41666196391211197,0.7221075,0.8368312499999998,0.4254848441766046,0.658959141054763,Botnet,0.99975,0.99975,0.78575,0.8917499999999998,0.524613125,0.52766,0.9833369137128536,0.9994746159077675,0.5556522841100514,0.7750358360977665,-0.006186725816775039,0.028029936789461782,0.9599890355839903
Total Length of Bwd Packet,0.7772175000000001,0.5398489082001412,0.7682125,0.9923,0.5201961944186408,0.983611373587189,DDoS,1.0,0.99975,0.99975,1.0,0.999656875,0.526594375,0.9727076620121732,0.9994714223995603,0.9994782307374513,1.0,0.9992768773360623,0.03891938179797334,0.9375933852213941
Total Bwd packets,0.7243418749999999,0.4234764114548224,0.746985,0.929339375,0.47577854944286685,0.8484990547158469,BruteForce,1.0,0.9459893362750507,1.0,0.78680375,0.92763375,0.88885,0.5250331185105622,0.8876503093715865,1.0,0.5563353903330981,0.847174029778996,0.7666945690038456,-0.01669564615819188
Flow Duration,0.82277375,0.6344891776264042,0.8144625,0.9142937499999999,0.6031842549425194,0.8238824102949387,BruteForce,1.0,0.9931997494943923,1.0,0.9503756250000001,0.8422525000000001,0.9772299999999999,0.9478839957035448,0.9858981805856231,1.0,0.8950482672634117,0.6677824152053033,0.9523433071478449,0.8734683264309363
Total Fwd Packet,0.705940625,0.39497068386281486,0.7407818749999999,0.977935625,0.4507693983940496,0.953716929971179,DDoS,0.9994912499999999,0.5754166781577494,0.944126875,0.9994912499999999,0.9693825,0.877831875,0.9035753073159087,0.13073910437243758,0.8861718743117322,0.9989112568617158,0.9364695382760784,0.7466075853423743,0.758690721221863
Total Length of Fwd Packet,0.790595625,0.5532597429336185,0.8250681249999999,0.8418206249999999,0.6326261411834874,0.6636513339751379,Botnet,0.9972137801066372,0.9972137801066372,0.994475625,0.88925,0.5300425000000001,0.532530625,0.9712071846282372,0.9942056521111157,0.9884223995067084,0.7706014761618516,0.025814420785898077,0.051962665077476884,0.9351029318357855
Fwd Packet Length Mean,0.694041875,0.3575382784394442,0.677781875,0.9545412500000001,0.34376551623076523,0.9049559599712158,Botnet,0.99975,0.99975,0.9939125000000001,0.99975,0.916619375,0.5294449999999999,0.9682930540637307,0.9994715472134944,0.9873192722266133,0.9994820457804388,0.829035468582192,0.05248792080379699,0.9308664291585572
Fwd Packet Length Min,0.5688875,0.09628641689491094,0.642880625,0.50025,0.26323110757619494,-0.0028730082570630764,benign,0.642880625,0.5,0.5,0.5005,0.50275,0.5035000000000001,0.5,0.0,0.0,-0.0007021648522788478,0.0018041175313521177,0.002037162530837739,0.0
